   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
  118  1378.43800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1378.43800    -0.75119     1.26797     0.00014     1.33401     0.07635           0   0.00000E+000   0.00000E+000   0.00000E+000
  119   970.70300     0.00909     0.00083     0.00011     0.00000     0.00000  1000.00000     0.00000   970.70300    -0.23223     1.98282     0.00007     0.54149     0.87712           0   0.75541E+003   0.00000E+000   0.00000E+000
  120   963.73600     0.00911     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   963.73600    -0.06673     1.51039     0.00002     0.13331     1.00000           0   0.75131E+003   0.00000E+000   0.00000E+000
  121   961.73400     0.00910     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   961.73400    -0.14397     1.46812     0.00003     0.28329     1.00000           0   0.74722E+003   0.00000E+000   0.00000E+000
  122   957.41500     0.00910     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   957.41500    -0.15973     1.64204     0.00004     0.33264     1.00000           0   0.74312E+003   0.00000E+000   0.00000E+000
  123   952.62300     0.00910     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   952.62300    -0.09920     1.63203     0.00002     0.20630     1.00000           0   0.73902E+003   0.00000E+000   0.00000E+000
  124   949.64500     0.01103     0.00077     0.00012     0.00000     0.00000  1000.00000     0.00000   949.64500    -0.00002     1.71254    -0.00000    -0.00000     1.00000           0   0.73405E+003   0.00000E+000   0.00000E+000
  125   949.64500     0.01045     0.00073     0.00012     0.00000     0.00000  1000.00000     0.00000   949.64500    -0.00005     1.95256     0.00001    -0.00000     1.00000           0   0.72935E+003   0.00000E+000   0.00000E+000
  126   949.64500     0.00910     0.00082     0.00012     0.00000     0.00000  1000.00000     0.00000   949.64500    -0.14371     1.01171     0.00002     0.24467     1.00000           0   0.72356E+003   0.00000E+000   0.00000E+000
  127   941.44400     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   941.44400    -0.11328     0.80171     0.00001     0.18089     1.00000           0   0.36675E+003   0.00000E+000   0.00000E+000
  128   939.09300     0.00908     0.00060     0.00008     0.00000     0.00000  1000.00000     0.00000   939.09300    -0.35546     1.53911     0.00008     0.70998     0.62350           0   0.32508E+003   0.00000E+000   0.00000E+000
  129   958.58800     0.00908     0.00020     0.00006     0.00000     0.00000  1000.00000     0.00000   958.58800    -0.15639     2.00000     0.00005     0.36778     1.00000           0   0.30973E+003   0.00000E+000   0.00000E+000
  130   969.07800     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   969.07800    -0.31920     1.73965     0.00009     0.68243     0.69574           0   0.55223E+003   0.00000E+000   0.00000E+000
  131  1000.92000     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1000.92000    -0.45255     1.09996     0.00007     0.78186     0.45678           1   0.71077E+003   0.00000E+000   0.00000E+000
  132  1013.00100     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1013.00100    -0.40270     1.98162     0.00013     0.92999     0.54890           1   0.71654E+003   0.00000E+000   0.00000E+000
